user_id,persona,subcluster,risk_appetite,joined_at,is_newcomer
U0078,공격형,공격형-2,4.7,2026-06-22,False
U0079,안정형,안정형-4,1.8,2025-09-29,False
U0080,성장형,성장형-1,3.6,2026-05-18,False
U0081,공격형,공격형-3,4.7,2026-08-17,True
U0082,안정형,안정형-4,1.8,2026-03-06,False
U0083,성장형,성장형-1,3.6,2026-03-22,False
U0084,공격형,공격형-1,4.7,2025-11-23,False
U0085,안정형,안정형-2,1.8,2025-10-13,False
U0086,성장형,성장형-2,3.6,2026-06-06,False
U0087,공격형,공격형-2,4.7,2026-01-28,False
U0088,안정형,안정형-3,1.8,2025-08-31,False
U0089,성장형,성장형-3,3.6,2025-12-16,False
U0090,공격형,공격형-4,4.7,2025-12-13,False
U0091,안정형,안정형-1,1.8,2025-12-30,False
U0092,성장형,성장형-4,3.6,2025-10-27,False
U0093,공격형,공격형-2,4.7,2025-10-28,False
U0094,안정형,안정형-4,1.8,2026-03-15,False
U0095,성장형,성장형-2,3.6,2025-12-07,False
U0096,공격형,공격형-3,4.7,2026-06-25,False
U0097,안정형,안정형-3,1.8,2026-03-04,False
U0098,성장형,성장형-1,3.6,2026-01-23,False
U0099,공격형,공격형-2,4.7,2026-08-20,True
U0100,안정형,안정형-2,1.8,2026-02-05,False
U0101,성장형,성장형-3,3.6,2026-01-15,False
U0102,공격형,공격형-3,4.7,2026-03-23,False
U0103,안정형,안정형-3,1.8,2025-12-18,False
U0104,성장형,성장형-1,3.6,2026-03-11,False
U0105,공격형,공격형-1,4.7,2025-10-18,False
U0106,안정형,안정형-1,1.8,2026-05-16,False
U0107,성장형,성장형-1,3.6,2026-05-23,False
U0108,공격형,공격형-3,4.7,2026-02-01,False
U0109,안정형,안정형-4,1.8,2026-06-25,False
U0110,성장형,성장형-4,3.6,2026-04-29,False
U0111,공격형,공격형-3,4.7,2026-08-20,True
U0112,안정형,안정형-2,1.8,2026-05-09,False
U0113,성장형,성장형-2,3.6,2026-01-29,False
U0114,공격형,공격형-1,4.7,2026-02-09,False
U0115,안정형,안정형-4,1.8,2026-04-28,False
U0116,성장형,성장형-1,3.6,2026-04-28,False
U0117,공격형,공격형-3,4.7,2026-02-20,False
U0118,안정형,안정형-4,1.8,2026-03-25,False
U0119,성장형,성장형-2,3.6,2025-09-03,False
U0120,공격형,공격형-3,4.7,2025-12-11,False
U0121,안정형,안정형-4,1.8,2025-09-22,False
U0122,성장형,성장형-1,3.6,2025-11-30,False
U0123,공격형,공격형-4,4.7,2025-10-08,False
U0124,안정형,안정형-3,1.8,2026-01-01,False
U0125,성장형,성장형-1,3.6,2026-02-27,False
U0126,공격형,공격형-4,4.7,2025-10-07,False
U0127,안정형,안정형-3,1.8,2025-09-29,False
U0128,성장형,성장형-4,3.6,2026-02-04,False
U0129,공격형,공격형-1,4.7,2025-11-15,False
U0130,안정형,안정형-3,1.8,2026-04-10,False
U0131,성장형,성장형-3,3.6,2026-08-23,True
U0132,공격형,공격형-3,4.7,2025-09-24,False
U0133,안정형,안정형-2,1.8,2025-11-17,False
U0134,성장형,성장형-2,3.6,2026-04-02,False
U0135,공격형,공격형-2,4.7,2025-11-08,False
U0136,안정형,안정형-4,1.8,2026-05-31,False
U0137,성장형,성장형-2,3.6,2025-12-10,False
U0138,공격형,공격형-4,4.7,2025-12-24,False
U0139,안정형,안정형-2,1.8,2026-03-10,False
U0140,성장형,성장형-3,3.6,2026-05-21,False
U0141,공격형,공격형-1,4.7,2025-11-28,False
U0142,안정형,안정형-1,1.8,2026-01-31,False
U0143,성장형,성장형-2,3.6,2025-12-18,False
U0144,공격형,공격형-2,4.7,2026-03-04,False
U0145,안정형,안정형-1,1.8,2026-05-07,False
U0146,성장형,성장형-2,3.6,2026-01-19,False
U0147,공격형,공격형-4,4.7,2026-05-11,False
U0148,안정형,안정형-3,1.8,2026-03-18,False
U0149,성장형,성장형-4,3.6,2026-01-17,False
U0150,공격형,공격형-3,4.7,2025-10-03,False
U0151,안정형,안정형-1,1.8,2025-11-08,False
U0152,성장형,성장형-2,3.6,2026-08-10,True
U0153,공격형,공격형-2,4.7,2025-11-12,False
U0154,안정형,안정형-4,1.8,2025-11-01,False
U0155,성장형,성장형-3,3.6,2026-02-13,False
U0156,공격형,공격형-1,4.7,2026-04-01,False
U0157,안정형,안정형-4,1.8,2025-11-08,False
U0158,성장형,성장형-1,3.6,2026-08-17,True
U0159,공격형,공격형-2,4.7,2026-06-01,False
U0160,안정형,안정형-3,1.8,2026-08-02,True
U0161,성장형,성장형-2,3.6,2026-06-08,False
U0162,공격형,공격형-4,4.7,2025-10-01,False
U0163,안정형,안정형-1,1.8,2025-10-06,False
U0164,성장형,성장형-4,3.6,2026-02-22,False
U0165,공격형,공격형-4,4.7,2025-09-15,False
U0166,안정형,안정형-1,1.8,2026-01-16,False
U0167,성장형,성장형-3,3.6,2025-10-22,False
U0168,공격형,공격형-1,4.7,2026-08-16,True
U0169,안정형,안정형-4,1.8,2026-01-21,False
U0170,성장형,성장형-1,3.6,2025-12-31,False
U0171,공격형,공격형-4,4.7,2025-10-26,False
U0172,안정형,안정형-2,1.8,2026-04-13,False
U0173,성장형,성장형-2,3.6,2026-04-20,False
U0174,공격형,공격형-3,4.7,2026-02-14,False
U0175,안정형,안정형-4,1.8,2025-11-13,False
U0176,성장형,성장형-3,3.6,2026-04-24,False
U0177,공격형,공격형-3,4.7,2025-12-13,False
U0178,안정형,안정형-2,1.8,2026-05-12,False
U0179,성장형,성장형-3,3.6,2025-10-26,False
U0180,공격형,공격형-1,4.7,2026-01-29,False
U0181,안정형,안정형-2,1.8,2026-04-17,False
U0182,성장형,성장형-4,3.6,2026-01-27,False
U0183,공격형,공격형-2,4.7,2026-02-24,False
U0184,안정형,안정형-2,1.8,2026-01-28,False
U0185,성장형,성장형-3,3.6,2026-01-09,False
U0186,공격형,공격형-1,4.7,2026-06-16,False
U0187,안정형,안정형-3,1.8,2025-11-12,False
U0188,성장형,성장형-2,3.6,2025-10-10,False
U0189,공격형,공격형-3,4.7,2026-03-05,False
U0190,안정형,안정형-2,1.8,2026-04-30,False
U0191,성장형,성장형-3,3.6,2026-05-18,False
U0192,공격형,공격형-4,4.7,2026-08-07,True
U0193,안정형,안정형-1,1.8,2026-01-27,False
U0194,성장형,성장형-3,3.6,2026-04-24,False
U0195,공격형,공격형-2,4.7,2026-03-23,False
U0196,안정형,안정형-2,1.8,2025-11-11,False
U0197,성장형,성장형-3,3.6,2025-09-23,False
U0198,공격형,공격형-4,4.7,2025-09-09,False
U0199,안정형,안정형-1,1.8,2026-02-18,False
U0200,성장형,성장형-1,3.6,2025-10-17,False
U0201,공격형,공격형-3,4.7,2025-09-24,False
U0202,안정형,안정형-1,1.8,2026-06-18,False
U0203,성장형,성장형-4,3.6,2026-01-25,False
U0204,공격형,공격형-3,4.7,2025-10-01,False
U0205,안정형,안정형-1,1.8,2026-06-21,False
U0206,성장형,성장형-3,3.6,2025-12-20,False
U0207,공격형,공격형-4,4.7,2025-10-26,False
U0208,안정형,안정형-4,1.8,2026-03-14,False
U0209,성장형,성장형-4,3.6,2026-04-14,False
U0210,공격형,공격형-1,4.7,2026-06-04,False
U0211,안정형,안정형-3,1.8,2025-10-09,False
U0212,성장형,성장형-3,3.6,2025-10-26,False
U0213,공격형,공격형-1,4.7,2025-11-27,False
U0214,안정형,안정형-3,1.8,2025-12-15,False
U0215,성장형,성장형-1,3.6,2026-08-17,True
U0216,공격형,공격형-4,4.7,2026-03-06,False
U0217,안정형,안정형-1,1.8,2026-06-10,False
U0218,성장형,성장형-2,3.6,2026-04-26,False
U0219,공격형,공격형-1,4.7,2025-10-20,False
U0220,안정형,안정형-2,1.8,2026-04-22,False
U0221,성장형,성장형-1,3.6,2026-01-22,False
U0222,공격형,공격형-3,4.7,2026-04-07,False
U0223,안정형,안정형-4,1.8,2025-12-30,False
U0224,성장형,성장형-4,3.6,2026-02-25,False
U0225,공격형,공격형-2,4.7,2026-01-04,False
U0226,안정형,안정형-1,1.8,2026-01-02,False
U0227,성장형,성장형-3,3.6,2026-05-06,False
U0228,공격형,공격형-3,4.7,2025-11-17,False
U0229,안정형,안정형-3,1.8,2025-10-14,False
U0230,성장형,성장형-4,3.6,2025-10-05,False
U0231,공격형,공격형-4,4.7,2026-02-23,False
U0232,안정형,안정형-3,1.8,2026-02-01,False
U0233,성장형,성장형-2,3.6,2025-10-12,False
U0234,공격형,공격형-1,4.7,2025-12-10,False
U0235,안정형,안정형-3,1.8,2025-12-01,False
U0236,성장형,성장형-2,3.6,2026-03-12,False
U0237,공격형,공격형-2,4.7,2026-05-19,False
U0238,안정형,안정형-2,1.8,2025-12-22,False
U0239,성장형,성장형-3,3.6,2026-03-01,False
U0240,공격형,공격형-1,4.7,2025-09-26,False
U0241,안정형,안정형-3,1.8,2025-11-25,False
U0242,성장형,성장형-3,3.6,2026-05-27,False
U0243,공격형,공격형-4,4.7,2026-02-28,False
U0244,안정형,안정형-2,1.8,2026-05-20,False
U0245,성장형,성장형-3,3.6,2025-08-31,False
U0246,공격형,공격형-1,4.7,2025-09-11,False
U0247,안정형,안정형-1,1.8,2026-03-13,False
U0248,성장형,성장형-2,3.6,2026-03-19,False
U0249,공격형,공격형-1,4.7,2025-12-01,False
U0250,안정형,안정형-2,1.8,2026-04-02,False
U0251,성장형,성장형-1,3.6,2025-10-27,False
U0252,공격형,공격형-3,4.7,2025-11-02,False
U0253,안정형,안정형-3,1.8,2026-05-31,False
U0254,성장형,성장형-4,3.6,2026-01-10,False
U0255,공격형,공격형-4,4.7,2026-02-06,False
U0256,안정형,안정형-4,1.8,2025-09-26,False
U0257,성장형,성장형-3,3.6,2026-05-13,False
U0258,공격형,공격형-4,4.7,2025-10-19,False
U0259,안정형,안정형-1,1.8,2026-04-02,False
U0260,성장형,성장형-1,3.6,2026-02-15,False
U0261,공격형,공격형-2,4.7,2026-06-09,False
U0262,안정형,안정형-1,1.8,2025-09-15,False
U0263,성장형,성장형-4,3.6,2025-10-22,False
U0264,공격형,공격형-1,4.7,2026-06-02,False
U0265,안정형,안정형-4,1.8,2026-03-29,False
U0266,성장형,성장형-2,3.6,2026-05-22,False
U0267,공격형,공격형-2,4.7,2025-10-07,False
U0268,안정형,안정형-2,1.8,2025-11-12,False
U0269,성장형,성장형-4,3.6,2026-05-31,False
U0270,공격형,공격형-2,4.7,2025-11-09,False
U0271,안정형,안정형-3,1.8,2026-08-22,True
U0272,성장형,성장형-2,3.6,2026-05-27,False
U0273,공격형,공격형-4,4.7,2025-12-12,False
U0274,안정형,안정형-4,1.8,2026-08-09,True
U0275,성장형,성장형-2,3.6,2026-05-08,False
U0276,공격형,공격형-4,4.7,2026-01-25,False
U0277,안정형,안정형-4,1.8,2026-01-14,False
U0278,성장형,성장형-1,3.6,2026-02-25,False
U0279,공격형,공격형-4,4.7,2025-12-25,False
U0280,안정형,안정형-2,1.8,2025-11-24,False
U0281,성장형,성장형-1,3.6,2026-03-18,False
U0282,공격형,공격형-1,4.7,2026-01-16,False
U0283,안정형,안정형-3,1.8,2026-02-16,False
U0284,성장형,성장형-2,3.6,2026-03-03,False
U0285,공격형,공격형-3,4.7,2025-12-28,False
U0286,안정형,안정형-2,1.8,2026-03-05,False
U0287,성장형,성장형-3,3.6,2025-11-11,False
U0288,공격형,공격형-4,4.7,2026-04-18,False
U0289,안정형,안정형-1,1.8,2026-05-30,False
U0290,성장형,성장형-1,3.6,2025-10-15,False
U0291,공격형,공격형-2,4.7,2026-05-11,False
U0292,안정형,안정형-2,1.8,2025-09-27,False
U0293,성장형,성장형-2,3.6,2026-03-20,False
U0294,공격형,공격형-4,4.7,2026-03-07,False
U0295,안정형,안정형-1,1.8,2026-02-16,False
U0296,성장형,성장형-1,3.6,2026-03-01,False
U0297,공격형,공격형-1,4.7,2026-01-19,False
U0298,안정형,안정형-2,1.8,2026-03-08,False
U0299,성장형,성장형-1,3.6,2026-04-10,False
U0300,공격형,공격형-2,4.7,2025-09-13,False
